time,price,ln_ratio
1720224000,2987.62,0.0
1720220400,2981.45,-0.20673244567280635
1720216800,2977.68,-0.12652855376420385
1720213200,2978.45,0.025855715180490808
1720209600,2974.4,-0.13606929873508947
1720206000,2988.18,0.46221684349696845
1720202400,2992.84,0.1558262952788977
1720198800,2990.79,-0.06852028217677013
1720195200,2967.59,-0.7787390949855364
1720191600,2991.25,0.7941184639267981
1720188000,2955.78,-1.1928784822672287
1720184400,2971.51,0.5307665704860549
1720180800,2935.87,-1.2066409279817054
1720177200,2946.72,0.36888555223413466
1720173600,2914.9,-1.085717346846809
1720170000,2882.95,-1.1021438436256707
1720166400,2851.01,-1.1140757994836725
1720162800,2880.93,1.0439841222558417
1720159200,2861.62,-0.6725260652899833
1720155600,2900.98,1.3660712905823533
1720152000,2865.42,-1.2333674660007263
1720148400,2919.7,1.876593499500348
1720144800,2989.2,2.3524921797922147
1720141200,3094.46,3.4607622880422877
1720137600,3103.82,0.30201949943628154
1720134000,3058.81,-1.4607659510277267
1720130400,3126.83,2.199376035308846
1720126800,3161.14,1.0913010242837045
1720123200,3142.86,-0.579950864093336
1720119600,3132.37,-0.334330686561987
1720116000,3128.99,-0.1079637755476656
1720112400,3141.27,0.3916907975155255
1720108800,3138.34,-0.09331790390249385
1720105200,3136.64,-0.05418344095411652
1720101600,3120.65,-0.511084984264183
1720098000,3123.76,0.09960909860642099
1720094400,3130.77,0.22415762448147408
1720090800,3157.32,0.8444585804422317
1720087200,3167.43,0.31969670297963987
1720083600,3160.31,-0.22504094684177933
1720080000,3165.46,0.16282606347751105
1720076400,3179.92,0.45576545551285313
1720072800,3202.43,0.7053857383434476
1720069200,3222.17,0.6145148996002814
1720065600,3233.85,0.3618332267618928
1720062000,3240.87,0.21684343881226018
1720058400,3225.79,-0.4663930788171312
1720054800,3215.66,-0.3145257155155385
1720051200,3303.8,2.7040696804118696
1720047600,3292.12,-0.35415869835778563
1720044000,3298.49,0.19330538398003777
1720040400,3294.42,-0.12346598139577483
1720036800,3255.82,-1.1785964124293322
1720033200,3263.01,0.2205918214032286
1720029600,3304.29,1.2571541933147852
1720026000,3300.02,-0.12930951439248828
1720022400,3311.34,0.34244122425915063
1720018800,3299.32,-0.36365546697508827
1720015200,3302.32,0.09088651324545476
1720011600,3313.39,0.33465827043941165
1720008000,3285.23,-0.853516976349626
1720004400,3303.04,0.5406591831847813
1720000800,3309.8,0.2044508064535349
1719997200,3337.27,0.8265342891315215
1719993600,3330.94,-0.18985610535335323
1719990000,3347.82,0.5054841300575783
1719986400,3366.85,0.5668201400941423
1719982800,3363.71,-0.09330576438827862
1719979200,3356.19,-0.22381294778532906
1719975600,3356.26,0.002085676615919399
1719972000,3377.56,0.6326296526801095
1719968400,3390.03,0.3685215597495159
1719964800,3419.78,0.8737450609308337
1719961200,3416.85,-0.08571475067071975
1719957600,3419.55,0.07898894565512965
1719954000,3415.97,-0.10474697835218873
1719950400,3415.6,-0.010832063504048117
1719946800,3410.94,-0.1365259919030105
1719943200,3425.78,0.43412698799964244
1719939600,3420.01,-0.1685707965433191
1719936000,3411.38,-0.2526573535064793
1719932400,3412.18,0.02344817085701144
1719928800,3405.97,-0.1821609004553779
1719925200,3434.23,0.8262963302570743
1719921600,3446.96,0.36999456554400123
1719918000,3448.29,0.03857728194030565
1719914400,3446.65,-0.04757111826723955
1719910800,3441.61,-0.14633596581421512
1719907200,3437.36,-0.12356502618132445
1719903600,3434.84,-0.07333896315446502
1719900000,3445.06,0.2970975600634083
1719896400,3454.72,0.2800091107719323
1719892800,3450.14,-0.13266020373142054
1719889200,3453.37,0.09357559373980044
1719885600,3447.52,-0.16954338936910263
1719882000,3444.96,-0.07428386060516244
1719878400,3440.65,-0.12518863435172892
1719874800,3438.99,-0.048258340035705276
1719871200,3440.18,0.03459719739067296
1719867600,3456.39,0.47008961994957665
1719864000,3463.26,0.19856502156198108
1719860400,3468,0.1367716905412997
1719856800,3478.72,0.3086351115202923
1719853200,3487.19,0.24318442742452717
1719849600,3463.29,-0.687724997379238
1719846000,3469.83,0.18865970702340187
1719842400,3464.47,-0.15459386145682902
1719838800,3456.64,-0.22626438072825286
1719835200,3468.22,0.3344475063472271
1719831600,3455.7,-0.36164524273735726
1719828000,3465.64,0.2872278152419664
1719824400,3477.86,0.35198423320873606
1719820800,3479.77,0.05490375452501027
1719817200,3487.19,0.21300546595531591
1719813600,3485.2,-0.05708229327490248
1719810000,3487.38,0.062530657834933
1719806400,3483.23,-0.1190713722420893
1719802800,3494.66,0.32760648914788876
1719799200,3498.54,0.11096494875386684
1719795600,3514.41,0.45259205013646886
1719792000,3438.84,-2.173745389616525
1719788400,3432.97,-0.17084294902642347
1719784800,3445.39,0.3611329880425018
1719781200,3408.25,-1.0838142521198848
1719777600,3416.05,0.22859497374435606
1719774000,3423.38,0.21434542955803002
1719770400,3418.98,-0.1286106140715223
1719766800,3408.3,-0.31286277145790603
1719763200,3387.88,-0.6009276225623832
1719759600,3394.36,0.19108736853241168
1719756000,3388.01,-0.18725023422191414
1719752400,3391.02,0.08880327119978657
1719748800,3380.64,-0.3065720408237829
1719745200,3383.62,0.08811016113487523
1719741600,3382.2,-0.0419756960974362
1719738000,3383.82,0.04788635064505897
1719734400,3387.14,0.09806586558087206
1719730800,3388.44,0.03837309915761827
1719727200,3371.99,-0.4866563951122299
1719723600,3361.94,-0.2984886228916264
1719720000,3358.66,-0.09761034016088357
1719716400,3366.57,0.23523369899591007
1719712800,3357.62,-0.2662032240399097
1719709200,3371.23,0.40452732813976094
